+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
|  caching  | machine |     device      |    master    |   melanie   |    thomas    | melanie_pct | thomas_pct |
+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
| cached    | 0   | 2        | xeon    | samsung-990-pro | 406.6395    | 415.4865    | 415.547    | 102         | 102        |
| cached    | 0   | 2        | xeon    | wd-sn640        | 383.236     | 405.675     | 393.2435   | 105         | 102        |
| cached    | 0   | 4        | ryzen   | nvme            | 285.863     | 282.1105    | 270.0425   | 98          | 94         |
| cached    | 0   | 4        | ryzen   | raid-nvme       | 287.3765    | 281.617     | 270.7855   | 97          | 94         |
| cached    | 0   | 4        | ryzen   | raid-sata       | 286.546     | 280.906     | 269.51     | 98          | 94         |
| cached    | 0   | 4        | xeon    | samsung-990-pro | 691.011     | 688.876     | 665.525    | 99          | 96         |
| cached    | 0   | 4        | xeon    | wd-sn640        | 684.329     | 689.3775    | 664.9985   | 100         | 97         |
| cached    | 0   | 8        | ryzen   | nvme            | 510.1595    | 499.4135    | 485.1195   | 97          | 95         |
| cached    | 0   | 8        | ryzen   | raid-nvme       | 511.655     | 501.884     | 482.827    | 98          | 94         |
| cached    | 0   | 8        | ryzen   | raid-sata       | 512.5965    | 501.9465    | 481.27     | 97          | 93         |
| cached    | 0   | 8        | xeon    | samsung-990-pro | 1159.229    | 1155.02     | 1115.8645  | 99          | 96         |
| cached    | 0   | 8        | xeon    | wd-sn640        | 1159.281    | 1155.4205   | 1119.264   | 99          | 96         |
| cached    | 0   | 16       | ryzen   | nvme            | 978.9725    | 960.946     | 929.056    | 98          | 94         |
| cached    | 0   | 16       | ryzen   | raid-nvme       | 977.947     | 963.0645    | 925.2895   | 98          | 94         |
| cached    | 0   | 16       | ryzen   | raid-sata       | 984.861     | 965.5495    | 928.789    | 98          | 94         |
| cached    | 0   | 16       | xeon    | samsung-990-pro | 2248.372    | 2229.449    | 2171.406   | 99          | 96         |
| cached    | 0   | 16       | xeon    | wd-sn640        | 2238.549    | 2237.5785   | 2159.3625  | 99          | 96         |
| cached    | 0   | 32       | ryzen   | nvme            | 1019.179    | 1021.4835   | 1029.519   | 100         | 101        |
| cached    | 0   | 32       | ryzen   | raid-nvme       | 1012.2175   | 1020.432    | 1015.92    | 100         | 100        |
| cached    | 0   | 32       | ryzen   | raid-sata       | 1014.3935   | 1017.1755   | 1028.827   | 100         | 101        |
| cached    | 0   | 32       | xeon    | samsung-990-pro | 2291.926    | 2309.506    | 2311.5525  | 100         | 100        |
| cached    | 0   | 32       | xeon    | wd-sn640        | 2288.109    | 2320.691    | 2313.884   | 101         | 101        |
| cached    | 0   | 64       | ryzen   | nvme            | 227.9425    | 222.63      | 224.9595   | 97          | 98         |
| cached    | 0   | 64       | ryzen   | raid-nvme       | 226.676     | 222.5135    | 223.776    | 98          | 98         |
| cached    | 0   | 64       | ryzen   | raid-sata       | 227.9975    | 225.081     | 226.7775   | 98          | 99         |
| cached    | 0   | 64       | xeon    | samsung-990-pro | 459.242     | 456.303     | 462.8045   | 99          | 100        |
| cached    | 0   | 64       | xeon    | wd-sn640        | 454.052     | 454.314     | 461.715    | 100         | 101        |
| cached    | 0   | 128      | ryzen   | nvme            | 607.303     | 598.6055    | 609.7675   | 98          | 100        |
| cached    | 0   | 128      | ryzen   | raid-nvme       | 610.378     | 599.8055    | 610.4655   | 98          | 100        |
| cached    | 0   | 128      | ryzen   | raid-sata       | 606.6665    | 602.5525    | 611.584    | 99          | 100        |
| cached    | 0   | 128      | xeon    | samsung-990-pro | 1199.134    | 1192.5175   | 1214.169   | 99          | 101        |
| cached    | 0   | 128      | xeon    | wd-sn640        | 1218.8315   | 1207.082    | 1232.2115  | 99          | 101        |
| cached    | 0   | 256      | ryzen   | nvme            | 1151.136    | 1125.494    | 1142.7425  | 97          | 99         |
| cached    | 0   | 256      | ryzen   | raid-nvme       | 1143.486    | 1134.585    | 1154.818   | 99          | 100        |
| cached    | 0   | 256      | ryzen   | raid-sata       | 1141.1985   | 1130.5825   | 1140.6025  | 99          | 99         |
| cached    | 0   | 256      | xeon    | samsung-990-pro | 2221.8605   | 2196.8225   | 2251.9835  | 98          | 101        |
| cached    | 0   | 256      | xeon    | wd-sn640        | 2213.6765   | 2206.5755   | 2255.028   | 99          | 101        |
| cached    | 0   | 512      | ryzen   | nvme            | 1178.254    | 1105.491    | 1094.612   | 93          | 92         |
| cached    | 0   | 512      | ryzen   | raid-nvme       | 1174.8315   | 1112.362    | 1097.143   | 94          | 93         |
